Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,14.450000,14.500000,14.000000,14.000000,14.000000,3925
2020-03-31,14.700000,14.700000,13.300000,14.700000,14.700000,6092
2020-04-01,15.250000,15.430000,15.000000,15.430000,15.430000,4179
2020-04-03,16.200001,16.200001,16.000000,16.200001,16.200001,4372
2020-04-07,17.010000,17.010000,17.010000,17.010000,17.010000,2320
2020-04-08,17.860001,17.860001,17.860001,17.860001,17.860001,1502
2020-04-09,18.750000,18.750000,18.750000,18.750000,18.750000,735
2020-04-13,19.680000,19.680000,19.680000,19.680000,19.680000,231
2020-04-15,20.660000,20.660000,20.660000,20.660000,20.660000,1490
2020-04-16,21.690001,21.690001,21.690001,21.690001,21.690001,431
2020-04-17,22.770000,22.770000,20.610001,21.070000,21.070000,44543
2020-04-20,22.000000,22.100000,20.020000,21.700001,21.700001,27332
2020-04-21,21.100000,21.950001,20.620001,21.500000,21.500000,11397
2020-04-22,21.500000,21.500000,20.430000,20.480000,20.480000,6441
2020-04-23,20.000000,20.990000,19.459999,19.459999,19.459999,6391
2020-04-24,20.400000,20.400000,18.490000,19.600000,19.600000,15710
2020-04-27,20.540001,20.580000,19.450001,20.580000,20.580000,5044
2020-04-28,21.600000,21.600000,20.250000,20.549999,20.549999,6751
2020-04-29,21.549999,21.570000,20.049999,20.459999,20.459999,9496
2020-04-30,20.500000,21.480000,19.600000,21.000000,21.000000,9151
2020-05-04,21.450001,22.049999,20.049999,22.049999,22.049999,22673
2020-05-05,22.750000,23.150000,21.549999,22.350000,22.350000,18306
2020-05-06,23.450001,23.450001,21.250000,22.000000,22.000000,10764
2020-05-07,22.500000,22.750000,20.900000,21.250000,21.250000,4923
2020-05-08,22.299999,22.299999,20.400000,21.299999,21.299999,1258
2020-05-11,22.000000,22.350000,21.000000,21.000000,21.000000,6748
2020-05-12,21.000000,21.700001,20.200001,21.600000,21.600000,7229
2020-05-13,22.000000,22.000000,20.600000,21.250000,21.250000,9043
2020-05-14,21.750000,21.950001,20.650000,21.850000,21.850000,9940
2020-05-15,21.900000,22.250000,20.799999,21.400000,21.400000,3412
2020-05-18,22.000000,22.000000,20.549999,21.000000,21.000000,5338
2020-05-19,21.000000,21.450001,20.000000,20.000000,20.000000,4051
2020-05-20,20.500000,21.000000,20.250000,20.799999,20.799999,9806
2020-05-21,21.549999,21.799999,19.799999,21.000000,21.000000,15624
2020-05-22,22.000000,22.049999,19.950001,21.350000,21.350000,26503
2020-05-26,21.100000,21.850000,20.350000,20.450001,20.450001,16285
2020-05-27,20.250000,21.000000,19.450001,19.549999,19.549999,26902
2020-05-28,19.450001,19.500000,18.600000,18.850000,18.850000,16135
2020-05-29,18.250000,19.000000,17.950001,18.400000,18.400000,14607
2020-06-01,18.000000,19.200001,18.000000,18.799999,18.799999,5735
2020-06-02,19.250000,19.250000,18.000000,18.900000,18.900000,12543
2020-06-03,19.000000,19.799999,18.400000,19.700001,19.700001,23575
2020-06-04,20.450001,20.650000,19.100000,20.049999,20.049999,24190
2020-06-05,20.000000,21.900000,19.799999,21.049999,21.049999,53846
2020-06-08,22.000000,22.000000,20.500000,20.950001,20.950001,19827
2020-06-09,22.700001,23.000000,20.650000,21.549999,21.549999,54365
2020-06-10,23.650000,23.700001,23.000000,23.700001,23.700001,67362
2020-06-11,26.049999,26.049999,21.350000,25.500000,25.500000,167436
2020-06-12,24.500000,25.900000,24.250000,24.700001,24.700001,53842
2020-06-15,24.250000,25.000000,23.700001,24.250000,24.250000,5895
2020-06-16,24.900000,24.900000,23.299999,23.500000,23.500000,15123
2020-06-17,22.900000,24.650000,22.900000,24.650000,24.650000,13185
2020-06-18,25.049999,25.850000,25.049999,25.350000,25.350000,39082
2020-06-19,26.000000,26.000000,24.299999,24.750000,24.750000,13422
2020-06-22,24.500000,24.850000,23.950001,24.549999,24.549999,16824
2020-06-23,24.000000,24.950001,23.750000,23.850000,23.850000,34276
2020-06-24,24.750000,24.750000,23.750000,23.799999,23.799999,22482
2020-06-25,23.750000,24.250000,22.750000,23.250000,23.250000,8746
2020-06-26,23.250000,23.900000,22.750000,23.700001,23.700001,7044
2020-06-29,22.750000,24.000000,22.750000,23.850000,23.850000,23466
2020-06-30,23.000000,24.549999,23.000000,23.950001,23.950001,7507
2020-07-01,23.100000,24.500000,23.100000,24.000000,24.000000,6650
2020-07-02,24.200001,24.450001,22.850000,23.350000,23.350000,5548
2020-07-03,23.000000,23.500000,22.200001,22.500000,22.500000,32544
2020-07-06,23.200001,23.200001,21.500000,22.400000,22.400000,40269
2020-07-07,22.900000,22.900000,21.650000,22.350000,22.350000,5097
2020-07-08,22.850000,22.850000,21.600000,22.000000,22.000000,7664
2020-07-09,21.750000,22.750000,21.750000,22.049999,22.049999,14339
2020-07-10,22.049999,23.150000,22.049999,23.100000,23.100000,17887
2020-07-13,24.000000,24.250000,22.250000,24.250000,24.250000,17989
2020-07-14,24.900000,25.450001,24.400000,25.100000,25.100000,34239
2020-07-15,25.400000,25.850000,23.850000,24.100000,24.100000,16141
2020-07-16,23.000000,24.299999,22.900000,23.299999,23.299999,9703
2020-07-17,24.000000,24.299999,23.000000,23.600000,23.600000,8970
2020-07-20,23.500000,24.450001,23.250000,23.500000,23.500000,6810
2020-07-21,23.000000,24.000000,22.350000,22.350000,22.350000,21332
2020-07-22,22.900000,23.450001,21.750000,23.450001,23.450001,14640
2020-07-23,24.350000,24.549999,23.100000,24.299999,24.299999,12135
2020-07-24,24.299999,24.900000,23.100000,23.600000,23.600000,18034
2020-07-27,23.000000,23.400000,22.450001,22.450001,22.450001,27110
2020-07-28,21.750000,23.000000,21.750000,22.250000,22.250000,2714
2020-07-29,22.000000,22.549999,21.750000,22.200001,22.200001,22084
2020-07-30,22.000000,23.299999,21.799999,22.500000,22.500000,27795
2020-07-31,22.000000,23.600000,21.650000,23.549999,23.549999,17257
2020-08-03,24.299999,24.700001,22.500000,24.549999,24.549999,24927
2020-08-04,24.000000,25.750000,24.000000,25.750000,25.750000,32039
2020-08-05,26.500000,27.000000,26.500000,27.000000,27.000000,20100
2020-08-06,28.350000,28.350000,27.400000,28.350000,28.350000,48042
2020-08-07,29.750000,29.750000,29.750000,29.750000,29.750000,13618
2020-08-10,31.200001,31.200001,28.299999,28.350000,28.350000,107825
2020-08-11,27.500000,29.299999,26.950001,26.950001,26.950001,27128
2020-08-12,25.799999,26.500000,25.650000,26.049999,26.049999,19039
2020-08-13,26.950001,26.950001,25.250000,25.700001,25.700001,36476
2020-08-14,25.450001,26.950001,25.000000,26.500000,26.500000,22100
2020-08-17,26.950001,27.700001,25.200001,25.250000,25.250000,19726
2020-08-18,25.250000,26.250000,24.500000,25.450001,25.450001,11892
2020-08-19,26.450001,26.450001,24.250000,26.299999,26.299999,24925
2020-08-20,25.200001,26.799999,25.200001,26.500000,26.500000,5080
2020-08-21,25.549999,26.950001,25.200001,25.400000,25.400000,24807
2020-08-24,25.400000,26.500000,25.000000,26.500000,26.500000,33167
2020-08-25,25.500000,27.250000,25.500000,27.150000,27.150000,15112
2020-08-26,27.500000,28.500000,27.500000,28.500000,28.500000,52310
2020-08-27,29.000000,29.750000,28.000000,28.150000,28.150000,28070
2020-08-28,27.500000,29.549999,27.500000,29.000000,29.000000,45458
2020-08-31,29.000000,30.250000,27.549999,27.549999,27.549999,29058
2020-09-01,27.100000,27.900000,26.200001,26.700001,26.700001,18513
2020-09-02,25.600000,27.299999,25.600000,26.450001,26.450001,6832
2020-09-03,26.450001,27.600000,26.000000,26.549999,26.549999,4753
2020-09-04,25.250000,26.900000,25.250000,26.500000,26.500000,7556
2020-09-07,26.500000,26.799999,26.049999,26.450001,26.450001,4695
2020-09-08,26.100000,26.900000,25.250000,25.299999,25.299999,18428
2020-09-09,25.250000,26.000000,24.100000,24.450001,24.450001,9997
2020-09-10,24.500000,25.650000,24.000000,25.000000,25.000000,20582
2020-09-11,25.000000,26.250000,24.500000,25.950001,25.950001,33179
2020-09-14,27.000000,27.200001,25.200001,27.200001,27.200001,25486
2020-09-15,27.500000,28.549999,26.350000,28.549999,28.549999,34828
2020-09-16,29.900000,29.950001,27.350000,29.950001,29.950001,33131
2020-09-17,30.950001,31.400000,29.950001,31.400000,31.400000,31822
2020-09-18,32.950001,32.950001,32.950001,32.950001,32.950001,11154
